avg_dist,avg_inc_price,avg_rating_by_driver,avg_rating_of_driver,city_Carthag,city_Harko,fancy_car_user,first_month_cat_more_1_trip,first_month_cat_no_trips,inc_pct,month_5_still_here,phone_iPhone,weekday_pct
3.67,1.1,5,4.7,0,1,TRUE,1,0,15.4,1,1,46.2
8.26,1,5,5,1,0,FALSE,0,1,0,0,0,50
0.77,1,5,4.3,1,0,FALSE,1,0,0,0,1,100
2.36,1.14,4.9,4.6,0,1,TRUE,1,0,20,1,1,80
3.13,1.19,4.9,4.4,0,0,FALSE,1,0,11.8,0,0,82.4
10.56,1,5,3.5,0,0,TRUE,1,0,0,1,1,100
3.95,1,4,,1,0,FALSE,0,0,0,0,0,100
2.04,1,5,5,0,0,FALSE,1,0,0,0,1,100
4.36,1,5,4.5,0,0,FALSE,1,0,0,0,0,100
2.37,1,5,,0,0,FALSE,0,0,0,0,0,0
4.28,1,4.9,5,0,0,TRUE,0,0,0,1,1,100
3.81,1,5,4,0,0,FALSE,1,0,0,0,1,100
20.29,1,5,,0,0,FALSE,0,0,0,0,1,100
3.04,1.38,5,4,0,1,FALSE,0,1,50,1,1,50
26.01,1,5,,1,0,FALSE,0,0,0,0,0,100
13.2,1,5,,0,0,TRUE,0,0,0,0,0,100
10.86,1,3,5,0,1,TRUE,0,0,0,1,0,50
2.38,1,4.8,3.9,0,1,TRUE,0,1,0,1,1,95.2
6.83,1.21,4.8,4.6,0,1,TRUE,1,0,30.8,1,1,80.8
12.08,1.17,5,5,0,1,FALSE,0,1,33.3,1,1,66.7
2.53,1,3,,0,0,FALSE,0,0,0,0,0,50
3.31,1,5,,1,0,FALSE,0,0,0,0,1,100
11.47,1,5,,0,0,FALSE,0,1,0,0,1,100
7.74,1,5,5,0,1,TRUE,0,1,0,1,0,100
2.1,1.02,4.7,4.5,1,0,FALSE,1,0,9.1,0,1,36.4
14.48,1,5,,0,0,TRUE,0,0,0,0,1,100
1.66,1,5,4,1,0,FALSE,0,0,0,0,0,100
3.05,1.05,5,5,0,0,FALSE,1,0,20,0,1,100
5.97,1.5,5,,0,0,FALSE,0,1,100,1,1,0
11.25,1,5,4,1,0,FALSE,0,0,0,0,0,100
6.12,1,4.8,5,1,0,TRUE,1,0,0,0,1,25
11.86,1,5,4.9,0,0,FALSE,0,0,0,1,1,40
10.01,2,5,4,0,0,FALSE,0,0,100,1,1,100
4.48,1,5,,0,0,TRUE,0,0,0,0,1,100
4.12,1.25,5,,1,0,FALSE,0,0,100,0,0,100
14.16,1,5,5,0,1,FALSE,1,0,0,0,0,100
2.43,1,4.5,,1,0,FALSE,1,0,0,1,1,50
1.38,1,5,4,1,0,FALSE,0,1,0,0,1,50
4.69,1.04,4.8,4.9,0,1,TRUE,1,0,5.8,1,1,61.6
13.73,1,5,,0,1,TRUE,0,0,0,1,1,100
0.83,1,5,4,0,0,FALSE,1,0,0,0,1,50
3.8,1.88,5,4,0,0,FALSE,0,1,50,0,1,0
5.72,1.5,5,4,0,0,FALSE,0,0,100,0,0,0
16.52,1,5,4.5,0,0,FALSE,0,0,0,0,1,50
1.4,1,5,5,0,1,TRUE,1,0,0,1,1,66.7
3,1,4.2,4,1,0,FALSE,1,0,0,0,0,50
2.93,1.33,5,5,1,0,FALSE,1,0,33.3,0,1,100
3.61,1.25,5,5,0,0,FALSE,0,0,100,0,1,0
1.75,1,4.8,4.8,0,0,FALSE,1,0,0,0,1,100
10.54,1,4.7,4.4,0,0,FALSE,1,0,0,1,1,71.4
3.25,1.25,5,5,0,0,FALSE,0,1,100,0,0,0
3.24,1,5,4.5,0,0,FALSE,1,0,0,0,0,52.4
4.98,1,5,5,0,0,FALSE,0,1,0,1,1,80
3.15,1.56,4.8,4.4,1,0,TRUE,1,0,22.2,0,1,22.2
4.94,1.5,5,3.5,0,0,FALSE,1,0,50,1,1,50
36.01,1,5,4,0,0,FALSE,0,0,0,0,1,100
23.49,1,5,2.5,1,0,FALSE,0,0,0,0,0,100
10.21,1,5,4.3,1,0,FALSE,0,1,0,0,0,66.7
2.6,1,5,5,1,0,FALSE,0,1,0,0,1,40
6.05,1.25,4.5,5,1,0,FALSE,0,0,100,0,1,0
3.01,1,5,,1,0,TRUE,0,0,0,0,1,0
